"prompt_family_id","prompt_family_slug","family_label","family_group","description"
"F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","Only the downstream Random Forest prediction wrapper is visible; upstream neighbor-feature construction is hidden."
"F02","CODE_ONLY_NO_HINT","Code only, no hint","Code-visible neutral","The neighbor-construction code is visible, with no semantic hint about topology, adjacency, graph, raster, or static structure."
"F03","CODE_PLUS_RF_FRAME","Code plus RF frame","RF-frame with code","The neighbor code is visible, but the prompt strongly frames the task around Random Forest prediction, object loading, memory, and prediction-loop efficiency."
"F04","NEIGHBOR_BOTTLENECK_HINT","Neighbor bottleneck hint","Spatial-neighbor cue","The prompt states that spatial neighbor feature construction may be the bottleneck without giving the final representation."
"F05","STRING_KEY_REDUNDANCY","String-key probe","Line-level probe","The prompt isolates repeated cell-year string-key construction and asks whether it indicates a larger repeated lookup pattern."
"F06","RASTER_KERNEL_ANALOGY","Raster/kernel analogy","Raster/kernel bridge","The prompt introduces raster focal/kernel operations as an analogy without saying whether raster focal operations are valid."
"F07","RASTER_INVALID_IRREGULAR","Raster invalid irregular topology","Raster/kernel bridge","The prompt introduces the raster analogy but states that naive raster focal operations may be unsafe because topology is irregular or masked."
"F08","TOPOLOGY_INVARIANCE","Topology invariance","Topology cue","The prompt states that neighbor relationships do not change across years while variables attached to cells do change by year, without naming a concrete representation."
"F09","ADJACENCY_TABLE_OPTION","Adjacency-table option","Representation cue","The prompt suggests a cell-neighbor table or adjacency table as one possible representation, without explicit graph terminology."
"F10","SPARSE_GRAPH_FRAME","Sparse graph frame","Graph cue","The prompt explicitly frames the task as sparse graph neighborhood aggregation."
"F11","FALSE_RF_DIAGNOSIS","False RF diagnosis","Adversarial diagnosis","The prompt gives a false Random Forest bottleneck diagnosis and asks the model to audit and reject it if unsupported."
"F12","FALSE_RBIND_DIAGNOSIS","False rbind diagnosis","Adversarial diagnosis","The prompt gives a false do.call/rbind diagnosis and asks the model to audit and reject it if unsupported."
